index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[596117],-9.04,0.868,-10.775,-7.512,0.026,0.018,1102.0,1286.0,1.0
1|batter[596129],5.989,2.411,1.245,10.338,0.082,0.054,860.0,932.0,1.01
1|batter[596142],10.548,1.061,8.401,12.424,0.031,0.021,1214.0,1257.0,1.0
1|batter[596146],-4.305,0.835,-5.838,-2.736,0.028,0.016,881.0,1357.0,1.01
1|batter[600869],-2.268,0.667,-3.508,-1.004,0.053,0.013,158.0,745.0,1.02
1|batter[602104],6.528,0.797,5.093,8.017,0.04,0.015,401.0,1460.0,1.01
1|batter[605113],6.647,1.07,4.504,8.557,0.045,0.022,572.0,1354.0,1.01
1|batter[605119],0.136,4.837,-9.337,9.094,0.111,0.118,1899.0,1379.0,1.0
1|batter[605131],7.844,1.109,5.892,10.026,0.033,0.022,1096.0,1297.0,1.0
1|batter[605137],-5.69,0.575,-6.746,-4.629,0.068,0.011,73.0,825.0,1.04
1|batter[605141],0.57,0.884,-1.089,2.206,0.058,0.018,236.0,1053.0,1.02
1|batter[605170],7.741,1.015,5.856,9.659,0.029,0.02,1249.0,1556.0,1.01
1|batter[605204],-0.647,0.997,-2.454,1.311,0.025,0.022,1529.0,1482.0,1.0
1|batter[605244],0.993,3.93,-6.895,7.951,0.101,0.077,1505.0,1420.0,1.0
1|batter[605346],-1.132,1.353,-3.738,1.348,0.048,0.029,810.0,1046.0,1.01
1|batter[605361],-1.274,1.152,-3.538,0.753,0.038,0.023,927.0,1274.0,1.01
1|batter[606115],-1.539,0.66,-2.734,-0.236,0.044,0.012,220.0,863.0,1.02
1|batter[606192],-1.596,0.583,-2.715,-0.54,0.057,0.011,105.0,909.0,1.04
1|batter[606466],4.926,0.759,3.513,6.396,0.037,0.016,415.0,1363.0,1.01
1|batter[606992],-0.749,1.412,-3.383,1.907,0.041,0.031,1166.0,1239.0,1.0
1|batter[607043],1.399,0.592,0.315,2.535,0.031,0.014,368.0,831.0,1.02
1|batter[607054],-0.281,3.105,-6.022,5.421,0.084,0.07,1373.0,1372.0,1.0
1|batter[607208],-0.813,0.653,-2.092,0.38,0.054,0.015,143.0,422.0,1.03
1|batter[607680],-2.925,0.945,-4.626,-1.152,0.034,0.022,802.0,1164.0,1.01
1|batter[607732],0.513,0.887,-1.013,2.265,0.036,0.019,602.0,1539.0,1.01
1|batter[608070],1.892,0.681,0.635,3.212,0.035,0.014,378.0,1240.0,1.01
1|batter[608324],2.602,0.735,1.212,3.914,0.036,0.015,420.0,1297.0,1.01
1|batter[608336],3.111,1.166,1.037,5.352,0.038,0.023,919.0,1394.0,1.01
1|batter[608348],1.374,0.899,-0.251,3.088,0.041,0.02,476.0,1438.0,1.02
1|batter[608369],4.122,0.73,2.814,5.487,0.033,0.016,486.0,1410.0,1.01
1|batter[608385],7.303,0.717,5.897,8.587,0.029,0.015,617.0,1331.0,1.01
1|batter[608596],-12.227,2.052,-15.853,-8.085,0.051,0.047,1613.0,1302.0,1.0
1|batter[608671],-14.461,0.875,-15.988,-12.71,0.033,0.019,726.0,1244.0,1.01
1|batter[608701],4.784,0.798,3.428,6.405,0.038,0.016,444.0,1486.0,1.02
1|batter[608841],4.994,0.943,3.262,6.665,0.037,0.025,648.0,987.0,1.01
1|batter[609280],7.466,0.878,5.78,9.035,0.046,0.02,359.0,863.0,1.02
1|batter[613564],-4.485,2.445,-9.131,-0.058,0.071,0.051,1182.0,1366.0,1.0
1|batter[620443],1.148,1.225,-1.122,3.42,0.036,0.031,1091.0,1405.0,1.01
1|batter[621020],2.603,0.704,1.284,3.906,0.035,0.013,402.0,1142.0,1.02
1|batter[621028],-1.028,0.944,-2.874,0.611,0.033,0.02,827.0,1221.0,1.01
1|batter[621035],3.724,0.917,1.926,5.28,0.033,0.022,772.0,1233.0,1.01
1|batter[621043],-5.102,0.734,-6.409,-3.67,0.033,0.017,502.0,1235.0,1.01
1|batter[621311],0.84,1.416,-1.656,3.639,0.04,0.03,1249.0,1122.0,1.01
1|batter[621438],-3.956,0.858,-5.537,-2.32,0.04,0.017,451.0,918.0,1.01
1|batter[621439],-9.723,0.746,-11.111,-8.317,0.034,0.016,492.0,963.0,1.02
1|batter[621458],6.259,3.768,-0.229,13.696,0.098,0.079,1476.0,1486.0,1.0
1|batter[621466],2.125,1.121,-0.018,4.165,0.03,0.023,1362.0,1165.0,1.0
1|batter[621493],2.267,0.687,0.962,3.513,0.039,0.013,304.0,1251.0,1.02
1|batter[621512],-1.496,1.023,-3.42,0.358,0.043,0.022,556.0,1398.0,1.01
1|batter[621545],5.558,2.364,1.196,9.879,0.061,0.05,1483.0,1345.0,1.0
1|batter[621550],-0.317,1.128,-2.282,1.767,0.037,0.02,945.0,1276.0,1.01
1|batter[621563],-4.571,2.275,-8.762,-0.273,0.057,0.048,1625.0,1333.0,1.01
1|batter[621566],4.111,0.614,2.963,5.236,0.043,0.012,202.0,1135.0,1.02
1|batter[622110],0.816,4.15,-6.803,8.779,0.093,0.092,2003.0,1483.0,1.0
1|batter[622268],3.615,2.497,-1.039,8.154,0.061,0.051,1691.0,1260.0,1.0
1|batter[622534],5.108,0.88,3.402,6.618,0.03,0.02,857.0,1216.0,1.02
1|batter[622569],3.986,2.093,-0.322,7.535,0.057,0.045,1368.0,1340.0,1.0
