index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[621439],5.656,0.664,4.401,6.871,0.022,0.014,938.0,1348.0,1.0
1|batter[621458],-7.441,3.486,-14.437,-1.105,0.082,0.078,1828.0,1425.0,1.0
1|batter[621466],5.749,1.035,3.869,7.668,0.032,0.024,1054.0,1142.0,1.01
1|batter[621493],-1.616,0.604,-2.783,-0.544,0.029,0.013,428.0,847.0,1.01
1|batter[621512],12.655,0.914,10.944,14.331,0.022,0.021,1770.0,1347.0,1.0
1|batter[621545],0.401,2.188,-3.548,4.542,0.047,0.046,2144.0,1540.0,1.0
1|batter[621550],7.197,1.019,5.286,9.023,0.029,0.024,1251.0,1275.0,1.0
1|batter[621563],-5.923,2.129,-9.716,-1.767,0.045,0.055,2211.0,1307.0,1.0
1|batter[621566],-7.763,0.544,-8.793,-6.777,0.024,0.011,529.0,1348.0,1.01
1|batter[622110],-0.523,4.091,-8.079,6.992,0.09,0.088,2058.0,1487.0,1.0
1|batter[622268],-7.016,2.168,-10.993,-2.86,0.04,0.049,2904.0,1451.0,1.0
1|batter[622534],-2.398,0.764,-3.845,-0.995,0.023,0.017,1117.0,1115.0,1.0
1|batter[622569],6.611,1.919,2.837,10.007,0.046,0.055,1783.0,1165.0,1.01
1|batter[622761],-2.006,0.881,-3.69,-0.394,0.023,0.024,1530.0,1174.0,1.01
1|batter[623168],-4.58,2.533,-9.256,0.24,0.061,0.057,1728.0,1498.0,1.0
1|batter[623520],3.036,1.56,0.193,6.07,0.035,0.035,1950.0,1326.0,1.0
1|batter[623912],-10.376,0.663,-11.632,-9.146,0.023,0.015,801.0,1206.0,1.0
1|batter[623993],-4.217,0.6,-5.298,-3.112,0.026,0.013,513.0,962.0,1.01
1|batter[624413],1.963,0.565,0.933,3.015,0.021,0.011,727.0,1188.0,1.01
1|batter[624415],-6.104,0.982,-8.002,-4.387,0.024,0.023,1612.0,1599.0,1.0
1|batter[624424],3.004,0.664,1.757,4.213,0.019,0.014,1289.0,1320.0,1.01
1|batter[624428],-1.7,0.707,-2.978,-0.325,0.02,0.015,1223.0,1586.0,1.0
1|batter[624431],10.302,0.861,8.673,11.886,0.024,0.02,1341.0,1281.0,1.01
1|batter[624503],1.698,0.628,0.433,2.801,0.022,0.016,803.0,1321.0,1.01
