index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[596103],-3.649,1.478,-6.414,-0.871,0.023,0.035,4277.0,1607.0,1.0
1|batter[596115],-0.355,0.906,-2.001,1.378,0.015,0.022,3612.0,1383.0,1.0
1|batter[596117],0.097,4.337,-8.362,7.847,0.095,0.121,2091.0,961.0,1.0
1|batter[596142],0.124,2.252,-4.039,4.208,0.035,0.05,4153.0,1468.0,1.0
1|batter[596146],-3.151,1.089,-5.154,-1.151,0.018,0.027,3519.0,1138.0,1.0
1|batter[600869],-2.579,1.274,-5.034,-0.37,0.022,0.03,3307.0,1692.0,1.01
1|batter[602104],0.794,1.046,-1.158,2.774,0.017,0.025,3835.0,1536.0,1.0
1|batter[605113],2.044,3.339,-4.428,7.876,0.058,0.077,3258.0,1509.0,1.01
1|batter[605131],-4.038,2.113,-8.215,-0.095,0.034,0.047,3758.0,1514.0,1.0
1|batter[605137],4.894,0.757,3.541,6.363,0.014,0.016,3070.0,1663.0,1.0
1|batter[605141],-7.608,1.147,-9.723,-5.34,0.019,0.025,3676.0,1622.0,1.0
1|batter[605170],-5.136,1.47,-7.937,-2.484,0.026,0.033,3215.0,1834.0,1.0
1|batter[605204],5.649,2.712,0.625,10.761,0.053,0.075,2629.0,1353.0,1.01
1|batter[605244],2.523,2.88,-2.723,8.129,0.056,0.063,2661.0,1506.0,1.0
1|batter[605353],-3.783,2.243,-7.879,0.513,0.047,0.049,2261.0,1434.0,1.0
1|batter[605361],-0.194,1.485,-3.127,2.533,0.025,0.037,3623.0,1424.0,1.0
1|batter[605612],-1.795,3.588,-8.251,5.013,0.078,0.078,2096.0,1480.0,1.0
1|batter[606115],1.743,1.26,-0.505,4.132,0.022,0.026,3217.0,1491.0,1.0
1|batter[606192],2.127,0.878,0.554,3.819,0.015,0.019,3238.0,1588.0,1.0
1|batter[606466],-1.659,1.273,-3.878,0.911,0.02,0.029,4018.0,1531.0,1.0
1|batter[606992],6.393,1.391,3.942,9.06,0.023,0.034,3791.0,1561.0,1.0
1|batter[607043],0.723,0.726,-0.639,2.026,0.013,0.016,2891.0,1779.0,1.0
1|batter[607067],0.178,3.917,-7.043,7.443,0.087,0.074,2012.0,1714.0,1.0
1|batter[607208],1.462,0.734,0.114,2.832,0.013,0.016,3269.0,1643.0,1.0
1|batter[607680],0.05,2.602,-4.79,4.798,0.039,0.063,4351.0,1673.0,1.0
1|batter[607732],-0.763,1.071,-2.85,1.182,0.021,0.024,2538.0,1496.0,1.0
1|batter[608070],-1.935,0.978,-3.867,-0.214,0.016,0.021,3611.0,1635.0,1.0
1|batter[608324],-0.072,1.158,-2.071,2.198,0.018,0.026,4348.0,1426.0,1.0
1|batter[608348],-3.224,1.183,-5.431,-0.937,0.02,0.03,3613.0,1263.0,1.0
1|batter[608360],2.386,3.123,-3.445,8.335,0.063,0.07,2456.0,1447.0,1.0
1|batter[608369],1.005,1.128,-1.028,3.158,0.018,0.028,3847.0,1208.0,1.0
1|batter[608385],-0.264,2.567,-4.972,4.816,0.041,0.079,3972.0,1115.0,1.0
1|batter[608671],-0.569,1.484,-3.136,2.39,0.028,0.035,2840.0,1550.0,1.0
1|batter[608701],4.491,1.259,2.086,6.871,0.021,0.028,3546.0,1527.0,1.01
1|batter[609280],0.423,1.24,-1.902,2.772,0.021,0.039,3510.0,1201.0,1.0
1|batter[620443],2.173,0.893,0.45,3.815,0.017,0.019,2845.0,1526.0,1.0
1|batter[621020],1.474,0.95,-0.324,3.231,0.017,0.02,3000.0,1518.0,1.0
1|batter[621028],-3.596,2.114,-7.585,0.309,0.035,0.05,3711.0,1542.0,1.01
1|batter[621035],-3.603,1.782,-7.079,-0.415,0.027,0.042,4231.0,1619.0,1.0
1|batter[621043],4.789,0.775,3.339,6.207,0.013,0.017,3535.0,1609.0,1.0
1|batter[621438],-2.353,1.284,-4.578,0.163,0.021,0.032,3565.0,1403.0,1.0
1|batter[621439],3.003,0.865,1.257,4.537,0.014,0.02,3611.0,1419.0,1.0
1|batter[621493],-4.016,1.043,-6.033,-2.045,0.017,0.022,3879.0,1747.0,1.0
1|batter[621512],2.149,1.684,-1.361,5.003,0.03,0.037,3167.0,1749.0,1.0
1|batter[621566],0.008,0.865,-1.647,1.598,0.015,0.022,3245.0,1480.0,1.0
1|batter[622268],0.548,3.399,-5.744,6.919,0.069,0.075,2441.0,1574.0,1.0
1|batter[622534],-0.846,2.491,-5.599,3.591,0.044,0.075,3135.0,929.0,1.0
1|batter[622569],-0.564,2.335,-5.071,3.712,0.038,0.055,3751.0,1502.0,1.0
1|batter[622761],2.136,1.706,-1.237,5.302,0.026,0.043,4265.0,1500.0,1.0
1|batter[623168],-10.264,1.512,-12.925,-7.145,0.024,0.041,4161.0,1168.0,1.01
1|batter[623205],4.067,3.212,-2.298,9.68,0.064,0.07,2554.0,1646.0,1.0
1|batter[623993],-1.749,1.409,-4.239,1.105,0.02,0.033,4918.0,1329.0,1.0
1|batter[624413],3.138,0.775,1.598,4.518,0.013,0.017,3790.0,1725.0,1.0
1|batter[624415],0.116,2.139,-4.14,4.016,0.033,0.06,4296.0,1080.0,1.0
1|batter[624424],1.123,0.82,-0.439,2.578,0.015,0.019,3142.0,1383.0,1.0
1|batter[624428],-3.686,0.804,-5.187,-2.195,0.014,0.021,3409.0,1434.0,1.0
1|batter[624431],-2.958,1.208,-5.36,-0.77,0.02,0.03,3742.0,1570.0,1.0
1|batter[624512],-1.207,1.398,-3.942,1.243,0.021,0.031,4514.0,1707.0,1.0
